timestamp_s,session_state,charger_voltage_v,pack_voltage_v,charge_current_a,charge_power_kw,soc_pct,pack_temp_c,connector_temp_c,cell_delta_v_mv,insulation_kohm,pilot_duty_pct,line_freq_hz,voltage_ripple_v,dI_dt_a_per_s,anomaly_label,anomaly_score_0_1
0.850,CC_CHARGING,398.610,351.813,118.445,41.671,42.070,28.592,29.978,13.551,820.101,59.119,59.984,0.800,-1.066,NONE,0.040
0.900,CC_CHARGING,399.684,352.094,120.364,42.379,42.074,28.423,29.967,13.217,820.900,59.182,59.975,0.730,38.362,NONE,0.059
0.950,CC_CHARGING,398.692,352.325,118.250,41.662,42.078,28.566,30.020,13.232,818.504,58.911,59.997,0.734,-42.270,NONE,0.043
1.000,CC_CHARGING,399.508,352.149,117.827,41.493,42.082,28.546,30.103,13.346,821.298,58.891,59.990,0.804,-8.466,NONE,0.030
1.050,CC_CHARGING,398.658,351.991,118.186,41.600,42.086,28.510,29.953,13.206,819.513,58.833,59.979,0.789,7.183,NONE,0.034
1.100,CC_CHARGING,399.464,352.196,118.723,41.814,42.090,28.520,30.129,13.218,821.023,58.931,59.994,0.730,10.732,NONE,0.043
1.150,CC_CHARGING,399.023,352.021,120.923,42.567,42.094,28.570,29.973,13.643,818.807,59.261,59.977,0.785,44.005,NONE,0.057
1.200,CC_CHARGING,398.934,352.704,117.554,41.462,42.098,28.438,30.083,13.155,821.293,58.901,59.972,0.786,-67.374,NONE,0.031
1.250,CC_CHARGING,398.953,351.980,119.246,41.972,42.102,28.628,30.169,13.332,820.782,59.266,60.016,0.720,33.830,NONE,0.044
1.300,CC_CHARGING,398.628,352.128,120.750,42.520,42.107,28.626,30.079,13.663,819.981,59.173,59.996,0.776,30.097,NONE,0.056
1.350,CC_CHARGING,399.264,352.383,118.264,41.674,42.111,28.502,30.017,13.418,820.825,58.982,59.983,0.728,-49.727,NONE,0.034
1.400,CC_CHARGING,399.109,352.731,117.721,41.524,42.115,28.593,29.995,13.266,821.285,58.849,60.001,0.735,-10.870,NONE,0.046
1.450,CC_CHARGING,398.538,352.384,119.394,42.073,42.119,28.480,29.986,13.075,819.074,59.142,59.981,0.726,33.464,NONE,0.037
1.500,CC_CHARGING,399.680,352.201,119.323,42.026,42.123,28.550,30.039,12.795,821.094,59.186,60.014,0.755,-1.414,NONE,0.053
1.550,CC_CHARGING,399.032,352.175,117.909,41.524,42.127,28.648,30.198,12.804,819.059,59.103,59.986,0.786,-28.291,NONE,0.038
1.600,CC_CHARGING,399.329,352.245,120.646,42.497,42.131,28.509,30.145,13.172,818.803,59.021,60.013,0.791,54.753,NONE,0.049
1.650,CC_CHARGING,398.511,352.088,119.618,42.116,42.135,28.600,30.162,12.531,821.436,58.922,59.979,0.811,-20.564,NONE,0.058
1.700,CC_CHARGING,398.512,351.910,119.665,42.111,42.139,28.537,30.044,13.290,819.751,59.248,59.988,0.726,0.951,NONE,0.032
1.750,CC_CHARGING,399.328,352.477,120.847,42.596,42.144,28.644,30.025,13.028,818.372,59.253,60.028,0.733,23.637,NONE,0.051
1.800,CC_CHARGING,399.860,351.936,120.930,42.560,42.148,28.487,29.945,13.340,817.814,59.128,59.970,0.799,1.656,NONE,0.053
1.850,CC_CHARGING,399.860,352.270,119.518,42.103,42.152,28.446,30.084,12.515,817.560,59.283,59.983,0.732,-28.242,NONE,0.047
1.900,CC_CHARGING,399.868,352.827,120.811,42.625,42.156,28.528,30.049,13.633,818.115,59.125,60.007,0.752,25.853,NONE,0.043
1.950,CC_CHARGING,398.532,352.434,119.665,42.174,42.160,28.516,29.984,13.499,820.646,59.064,59.995,0.732,-22.909,NONE,0.058
2.000,CC_CHARGING,399.268,352.775,121.099,42.721,42.164,28.678,30.085,13.113,820.816,58.850,60.006,0.724,28.670,NONE,0.036
2.050,CC_CHARGING,399.512,352.050,119.724,42.149,42.168,28.493,29.988,12.983,819.972,58.968,60.027,0.762,-27.487,NONE,0.033
2.100,CC_CHARGING,399.683,352.509,120.815,42.588,42.172,28.571,30.205,12.707,818.660,58.882,60.001,0.733,21.803,NONE,0.058
2.150,CC_CHARGING,398.724,352.167,120.946,42.593,42.176,28.582,29.983,13.120,820.249,58.825,59.976,0.808,2.634,NONE,0.058
2.200,CC_CHARGING,398.568,352.495,118.917,41.918,42.180,28.519,30.040,12.604,818.193,59.122,59.992,0.741,-40.584,NONE,0.038
2.250,CC_CHARGING,398.868,352.122,119.395,42.041,42.184,28.572,30.082,12.550,821.411,59.099,59.980,0.726,9.553,NONE,0.034
2.300,CC_CHARGING,399.343,352.705,120.318,42.437,42.189,28.595,30.195,12.657,821.248,58.862,59.997,0.813,18.471,NONE,0.034
2.350,CC_CHARGING,398.535,352.912,120.920,42.674,42.193,28.666,30.064,13.607,821.233,59.277,60.023,0.764,12.026,NONE,0.030
2.400,CC_CHARGING,399.031,351.977,120.283,42.337,42.197,28.689,30.126,13.677,820.296,58.931,59.976,0.810,-12.738,NONE,0.032
2.450,CC_CHARGING,398.977,352.013,118.908,41.857,42.201,28.608,30.144,13.349,820.113,58.924,60.026,0.736,-27.491,NONE,0.047
2.500,CC_CHARGING,398.843,352.368,120.670,42.520,42.205,28.505,30.065,13.135,817.598,59.123,59.988,0.751,35.245,NONE,0.042
2.550,CC_CHARGING,399.281,352.596,120.097,42.346,42.209,28.689,30.239,12.777,820.870,59.025,60.022,0.764,-11.472,NONE,0.054
2.600,CC_CHARGING,398.624,352.159,120.065,42.282,42.213,28.529,30.213,13.242,820.358,58.851,59.998,0.779,-0.628,NONE,0.050
2.650,CC_CHARGING,399.234,352.756,120.545,42.523,42.217,28.668,30.231,12.761,821.139,59.067,59.991,0.821,9.588,NONE,0.054
2.700,CC_CHARGING,399.187,352.409,118.578,41.788,42.221,28.576,30.042,13.340,819.187,59.092,60.001,0.782,-39.333,NONE,0.054
2.750,CC_CHARGING,399.337,352.198,120.341,42.384,42.225,28.573,30.191,13.185,818.472,58.947,59.979,0.787,35.260,NONE,0.043
2.800,CC_CHARGING,399.249,352.127,120.436,42.409,42.230,28.686,30.256,12.899,821.064,59.074,60.020,0.777,1.886,NONE,0.045
2.850,CC_CHARGING,399.185,352.375,117.878,41.537,42.234,28.532,30.163,12.804,820.495,58.921,60.019,0.801,-51.142,NONE,0.045
2.900,CC_CHARGING,398.766,352.233,118.261,41.655,42.238,28.491,30.097,13.620,821.206,59.305,60.009,0.748,7.643,NONE,0.048
2.950,CC_CHARGING,398.614,352.775,120.377,42.466,42.242,28.539,30.252,12.963,819.046,59.078,60.026,0.809,42.325,NONE,0.040
3.000,CC_CHARGING,399.615,352.989,118.020,41.660,42.246,28.575,30.064,12.660,817.413,58.953,59.985,0.767,-47.128,NONE,0.046
3.050,CC_CHARGING,399.753,353.046,121.042,42.733,42.250,28.581,30.200,13.516,820.935,58.926,60.000,0.793,60.433,NONE,0.034
3.100,CC_CHARGING,399.115,352.822,120.907,42.659,42.254,28.694,30.071,12.753,820.310,59.271,60.009,0.811,-2.692,NONE,0.044
3.150,CC_CHARGING,399.790,352.368,120.907,42.604,42.258,28.616,30.243,13.698,820.377,58.840,60.002,0.742,-0.015,NONE,0.035
3.200,CC_CHARGING,398.735,352.734,118.437,41.777,42.262,28.646,30.165,13.521,818.112,58.849,60.008,0.801,-49.389,NONE,0.053
3.250,CC_CHARGING,399.754,352.230,121.193,42.688,42.267,28.629,30.092,13.390,819.309,59.031,60.024,0.789,55.110,NONE,0.043
3.300,CC_CHARGING,399.210,352.585,119.351,42.081,42.271,28.704,30.091,13.615,820.374,59.142,60.029,0.765,-36.842,NONE,0.046
3.350,CC_CHARGING,399.943,352.778,120.612,42.549,42.275,28.555,30.053,13.717,820.827,59.294,60.005,0.734,25.233,NONE,0.045
3.400,CC_CHARGING,398.644,352.840,119.738,42.248,42.279,28.692,30.031,13.235,819.700,59.100,59.984,0.825,-17.496,NONE,0.039
3.450,CC_CHARGING,399.891,352.234,119.594,42.125,42.283,28.605,30.131,13.104,820.953,59.254,60.016,0.747,-2.873,NONE,0.033
3.500,CC_CHARGING,398.969,352.824,118.483,41.804,42.287,28.597,30.195,13.476,818.404,58.925,59.987,0.762,-22.219,NONE,0.059
3.550,CC_CHARGING,399.455,352.424,119.635,42.162,42.291,28.551,30.000,12.589,817.913,59.205,60.023,0.789,23.033,NONE,0.042
3.600,CC_CHARGING,399.473,352.893,118.656,41.873,42.295,28.592,30.002,12.651,819.206,59.136,60.029,0.760,-19.578,NONE,0.056
3.650,CC_CHARGING,399.649,352.942,119.755,42.267,42.299,28.605,30.232,12.964,819.837,59.171,59.989,0.772,21.986,NONE,0.039
3.700,CC_CHARGING,399.773,352.359,120.722,42.537,42.303,28.593,30.210,13.671,817.503,58.847,59.982,0.812,19.341,NONE,0.050
3.750,CC_CHARGING,398.764,352.854,120.780,42.618,42.307,28.704,30.118,12.650,820.480,58.976,60.000,0.784,1.161,NONE,0.056
3.800,CC_CHARGING,399.009,353.019,118.647,41.885,42.312,28.653,30.121,13.574,819.317,59.092,59.990,0.740,-42.670,NONE,0.041
3.850,CC_CHARGING,399.219,353.018,120.133,42.409,42.316,28.589,30.300,12.887,818.437,59.345,60.021,0.797,29.723,NONE,0.045
3.900,CC_CHARGING,399.283,352.484,120.692,42.542,42.320,28.526,30.239,13.357,820.768,59.084,59.984,0.792,11.185,NONE,0.033
3.950,CC_CHARGING,399.859,352.372,120.646,42.512,42.324,28.625,30.176,13.535,820.534,59.172,59.979,0.748,-0.915,NONE,0.046
4.000,CC_CHARGING,399.394,352.712,121.133,42.725,42.328,28.556,30.174,13.496,818.120,58.880,59.988,0.743,9.730,NONE,0.033
4.050,CC_CHARGING,398.767,353.055,120.123,42.410,42.332,28.670,30.299,13.349,819.867,59.293,60.007,0.780,-20.194,NONE,0.048
4.100,CC_CHARGING,399.769,353.269,117.925,41.659,42.336,28.708,30.089,13.578,817.739,59.027,60.019,0.764,-43.954,NONE,0.045
4.150,CC_CHARGING,398.952,352.929,118.804,41.930,42.340,28.714,30.240,12.790,820.402,58.883,59.998,0.770,17.584,NONE,0.031
4.200,CC_CHARGING,399.533,352.855,119.431,42.142,42.344,28.519,30.122,13.693,817.834,59.208,60.013,0.783,12.526,NONE,0.039
4.250,CC_CHARGING,399.789,352.606,120.310,42.422,42.349,28.652,30.161,13.363,819.352,59.144,60.018,0.817,17.580,NONE,0.052
4.300,CC_CHARGING,399.121,353.122,119.678,42.261,42.353,28.658,30.075,13.799,817.617,59.063,60.002,0.832,-12.630,NONE,0.042
4.350,CC_CHARGING,399.058,353.073,119.955,42.353,42.357,28.651,30.207,13.472,818.366,59.091,59.993,0.743,5.543,NONE,0.053
4.400,CC_CHARGING,399.691,352.356,120.830,42.575,42.361,28.548,30.224,13.751,818.609,59.113,59.980,0.760,17.499,NONE,0.039
4.450,CC_CHARGING,399.015,352.356,120.948,42.617,42.365,28.534,30.105,13.764,817.293,59.243,60.026,0.796,2.343,NONE,0.051
4.500,CC_CHARGING,398.942,352.545,120.966,42.646,42.369,28.556,30.097,13.803,820.813,58.985,60.018,0.788,0.370,NONE,0.044
4.550,CC_CHARGING,399.227,353.197,118.891,41.992,42.373,28.743,30.168,13.602,816.996,58.883,60.001,0.780,-41.497,NONE,0.046
4.600,CC_CHARGING,399.494,352.846,118.565,41.835,42.377,28.564,30.181,13.783,817.526,59.342,60.027,0.836,-6.524,NONE,0.033
4.650,CC_CHARGING,398.984,353.200,120.710,42.635,42.381,28.540,30.282,13.531,818.015,59.091,59.980,0.793,42.909,NONE,0.033
4.700,CC_CHARGING,399.459,353.130,121.375,42.861,42.385,28.563,30.062,12.759,818.021,59.166,60.029,0.810,13.291,NONE,0.045
4.750,CC_CHARGING,399.263,353.284,121.385,42.883,42.389,28.626,30.271,13.562,818.056,59.004,59.995,0.812,0.199,NONE,0.049
4.800,CC_CHARGING,399.607,353.021,119.262,42.102,42.394,28.741,30.215,12.923,817.168,58.964,60.011,0.830,-42.451,NONE,0.047
4.850,CC_CHARGING,399.168,352.572,118.388,41.740,42.398,28.601,30.332,13.283,819.607,59.241,60.017,0.751,-17.488,NONE,0.050
4.900,CC_CHARGING,399.863,352.458,119.820,42.232,42.402,28.552,30.067,13.730,820.327,59.160,60.020,0.801,28.644,NONE,0.032
4.950,CC_CHARGING,399.791,353.214,120.055,42.405,42.406,28.560,30.278,13.386,818.813,59.111,59.982,0.802,4.697,NONE,0.033
5.000,CC_CHARGING,399.761,353.423,120.952,42.747,42.410,28.729,30.276,13.043,817.737,58.998,59.983,0.810,17.930,NONE,0.032
5.050,CC_CHARGING,399.250,352.468,118.797,41.872,42.414,28.678,30.266,13.110,819.395,58.969,59.973,0.845,-43.099,NONE,0.039
5.100,CC_CHARGING,399.552,353.256,118.926,42.011,42.418,28.647,30.212,12.719,817.625,59.142,59.983,0.827,2.594,NONE,0.042
5.150,CC_CHARGING,398.970,353.350,118.231,41.777,42.422,28.613,30.085,13.736,820.458,59.303,59.975,0.785,-13.909,NONE,0.033
5.200,CC_CHARGING,399.395,352.511,119.959,42.287,42.426,28.599,30.350,12.971,817.881,59.336,60.011,0.801,34.561,NONE,0.041
5.250,CC_CHARGING,400.101,353.036,121.555,42.913,42.431,28.681,30.074,13.651,820.548,59.171,60.027,0.787,31.917,NONE,0.039
5.300,CC_CHARGING,399.922,352.689,118.554,41.813,42.435,28.733,30.301,13.455,820.024,59.091,60.030,0.759,-60.015,NONE,0.056
5.350,CC_CHARGING,399.447,352.672,119.181,42.032,42.439,28.652,30.276,13.242,819.664,59.076,60.004,0.773,12.536,NONE,0.045
5.400,CC_CHARGING,399.667,353.454,119.993,42.412,42.443,28.664,30.154,12.977,819.502,59.217,59.971,0.831,16.238,NONE,0.044
5.450,CC_CHARGING,400.080,352.775,120.136,42.381,42.447,28.601,30.122,12.880,816.652,59.040,59.978,0.781,2.861,NONE,0.044
5.500,CC_CHARGING,400.102,352.920,119.816,42.286,42.451,28.625,30.295,13.176,819.755,58.960,59.981,0.788,-6.385,NONE,0.051
5.550,CC_CHARGING,399.484,353.378,118.430,41.851,42.455,28.630,30.196,13.584,816.614,59.311,59.973,0.810,-27.725,NONE,0.058
5.600,CC_CHARGING,399.553,352.902,120.024,42.357,42.459,28.671,30.085,13.418,817.896,58.906,59.974,0.831,31.875,NONE,0.057
5.650,CC_CHARGING,399.013,353.360,119.296,42.155,42.463,28.574,30.101,13.052,818.412,59.378,59.977,0.765,-14.552,NONE,0.044
5.700,CC_CHARGING,399.142,352.825,119.513,42.167,42.467,28.668,30.167,12.739,819.589,59.261,59.993,0.793,4.332,NONE,0.053
5.750,CC_CHARGING,399.112,352.589,121.492,42.837,42.471,28.659,30.173,13.772,819.817,59.023,60.011,0.783,39.573,NONE,0.049
5.800,CC_CHARGING,400.045,352.670,121.599,42.884,42.476,28.567,30.316,12.883,819.868,59.314,60.017,0.811,2.146,NONE,0.048
5.850,CC_CHARGING,399.962,352.863,120.291,42.446,42.480,28.743,30.139,13.410,820.359,59.078,59.988,0.775,-26.158,NONE,0.040
5.900,CC_CHARGING,400.210,352.869,118.947,41.973,42.484,28.695,30.133,13.549,818.108,59.057,59.975,0.799,-26.875,NONE,0.056
5.950,CC_CHARGING,399.643,353.176,119.313,42.139,42.488,28.713,30.255,13.147,818.456,59.387,59.977,0.791,7.325,NONE,0.043
6.000,CC_CHARGING,399.800,353.332,118.846,41.992,42.492,28.745,30.180,13.570,818.465,59.206,59.999,0.825,-9.359,NONE,0.052
6.050,CC_CHARGING,399.603,353.305,119.576,42.247,42.496,28.625,30.161,13.227,816.927,58.988,59.976,0.765,14.615,NONE,0.049
6.100,CC_CHARGING,400.152,353.550,120.831,42.720,42.500,28.779,30.336,13.593,817.744,59.377,59.988,0.834,25.104,NONE,0.044
6.150,CC_CHARGING,399.039,352.686,120.751,42.587,42.504,28.623,30.322,13.348,819.281,58.951,59.976,0.832,-1.600,NONE,0.047
6.200,CC_CHARGING,399.725,353.174,118.438,41.829,42.508,28.649,30.141,13.731,818.065,59.312,60.022,0.842,-46.266,NONE,0.052
6.250,CC_CHARGING,400.223,352.882,121.330,42.815,42.513,28.650,30.170,13.230,819.785,58.963,59.984,0.814,57.844,NONE,0.057
6.300,CC_CHARGING,399.581,353.273,121.211,42.821,42.517,28.743,30.248,12.796,818.099,59.044,59.988,0.805,-2.392,NONE,0.054
6.350,CC_CHARGING,400.265,353.166,120.441,42.536,42.521,28.765,30.268,12.867,817.662,59.018,60.003,0.840,-15.387,NONE,0.058
6.400,CC_CHARGING,399.293,353.165,120.739,42.641,42.525,28.740,30.123,12.743,818.003,59.367,59.980,0.859,5.953,NONE,0.056
6.450,CC_CHARGING,399.662,353.639,121.207,42.863,42.529,28.790,30.262,13.437,818.967,59.042,59.972,0.780,9.354,NONE,0.055
6.500,CC_CHARGING,399.935,352.787,119.891,42.296,42.533,28.603,30.123,13.225,817.993,59.330,59.986,0.795,-26.314,NONE,0.046
6.550,CC_CHARGING,398.907,352.856,121.020,42.703,42.537,28.583,30.279,12.744,816.674,58.966,59.972,0.806,22.574,NONE,0.046
6.600,CC_CHARGING,400.236,352.805,119.102,42.020,42.541,28.782,30.176,13.744,819.551,59.184,59.991,0.856,-38.361,NONE,0.047
6.650,CC_CHARGING,399.209,353.479,118.867,42.017,42.545,28.656,30.351,13.683,820.050,59.379,59.994,0.862,-4.696,NONE,0.048
6.700,CC_CHARGING,399.992,353.506,120.349,42.544,42.549,28.652,30.368,12.819,818.709,59.389,60.019,0.849,29.648,NONE,0.041
6.750,CC_CHARGING,399.956,352.982,119.233,42.087,42.553,28.627,30.153,12.906,817.851,59.297,59.998,0.801,-22.335,NONE,0.043
6.800,CC_CHARGING,399.280,353.257,121.031,42.755,42.558,28.746,30.265,13.831,819.718,59.133,60.000,0.770,35.970,NONE,0.043
6.850,CC_CHARGING,400.170,353.661,120.153,42.493,42.562,28.720,30.250,13.956,818.621,59.188,59.995,0.766,-17.558,NONE,0.058
6.900,CC_CHARGING,399.431,353.793,118.977,42.093,42.566,28.716,30.336,13.174,817.421,59.003,59.987,0.775,-23.523,NONE,0.039
6.950,CC_CHARGING,399.033,353.228,119.425,42.184,42.570,28.637,30.343,13.042,819.228,59.367,60.009,0.809,8.951,NONE,0.059
7.000,CC_CHARGING,399.217,353.701,121.755,43.065,42.574,28.692,30.331,13.135,819.901,59.252,59.978,0.815,46.605,NONE,0.054
7.050,CC_CHARGING,399.847,353.158,119.043,42.041,42.578,28.809,30.321,13.448,816.701,59.143,59.984,0.800,-54.239,NONE,0.046
7.100,CC_CHARGING,399.812,353.138,121.000,42.730,42.582,28.797,30.219,13.889,819.277,59.344,60.009,0.784,39.148,NONE,0.058
7.150,CC_CHARGING,399.132,353.410,121.137,42.811,42.586,28.621,30.147,13.232,817.889,59.212,60.003,0.838,2.736,NONE,0.045
7.200,CC_CHARGING,399.364,353.788,119.219,42.178,42.590,28.602,30.372,13.044,819.784,59.101,60.021,0.841,-38.360,NONE,0.053
7.250,CC_CHARGING,399.979,353.435,120.837,42.708,42.594,28.648,30.258,13.157,819.030,59.206,59.994,0.862,32.361,NONE,0.042
7.300,CC_CHARGING,399.467,353.107,120.017,42.379,42.599,28.777,30.175,13.623,818.229,59.084,59.982,0.811,-16.410,NONE,0.037
7.350,CC_CHARGING,399.283,353.789,121.521,42.993,42.603,28.753,30.237,13.611,819.891,59.383,59.986,0.792,30.085,NONE,0.046
7.400,CC_CHARGING,399.223,353.218,119.346,42.155,42.607,28.778,30.269,13.371,817.657,59.082,60.024,0.854,-43.495,NONE,0.055
7.450,CC_CHARGING,399.390,353.174,119.003,42.029,42.611,28.650,30.197,13.064,817.616,59.395,59.976,0.864,-6.859,NONE,0.059
7.500,CC_CHARGING,399.386,353.438,120.552,42.608,42.615,28.692,30.241,13.196,819.550,58.965,60.015,0.776,30.974,NONE,0.046
7.550,CC_CHARGING,400.007,353.345,118.714,41.947,42.619,28.619,30.165,13.413,816.095,59.194,59.971,0.786,-36.758,NONE,0.045
7.600,CC_CHARGING,400.135,352.971,118.832,41.944,42.623,28.614,30.395,13.901,816.777,59.333,60.026,0.783,2.360,NONE,0.056
7.650,CC_CHARGING,399.511,353.248,120.003,42.391,42.627,28.624,30.366,13.933,819.433,59.259,60.025,0.825,23.418,NONE,0.034
7.700,CC_CHARGING,399.076,353.939,120.344,42.594,42.631,28.622,30.433,13.950,816.469,59.112,59.983,0.798,6.816,NONE,0.060
7.750,CC_CHARGING,399.576,353.215,121.255,42.829,42.636,28.707,30.454,13.849,817.349,58.998,59.982,0.824,18.222,NONE,0.037
7.800,CC_CHARGING,399.539,353.348,121.237,42.839,42.640,28.669,30.324,13.837,818.319,59.181,59.989,0.811,-0.349,NONE,0.059
7.850,CC_CHARGING,399.247,353.441,120.359,42.540,42.644,28.830,30.226,13.356,816.117,59.129,59.989,0.862,-17.563,NONE,0.049
7.900,CC_CHARGING,400.159,353.767,120.024,42.460,42.648,28.765,30.274,13.330,818.437,59.038,60.003,0.850,-6.706,NONE,0.044
7.950,CC_CHARGING,399.861,353.841,120.279,42.560,42.652,28.716,30.323,13.506,816.250,59.356,60.018,0.864,5.112,NONE,0.030
8.000,CC_CHARGING,399.757,353.818,121.420,42.961,42.656,28.689,30.386,13.782,819.207,59.197,59.989,0.876,22.810,NONE,0.038
8.050,CC_CHARGING,400.160,353.779,118.911,42.068,42.660,28.738,30.271,12.930,816.819,59.339,60.010,0.791,-50.185,NONE,0.038
8.100,CC_CHARGING,399.430,353.165,118.876,41.983,42.664,28.704,30.432,13.642,817.638,59.360,60.012,0.876,-0.692,NONE,0.036
8.150,CC_CHARGING,399.718,353.188,118.911,41.998,42.668,28.654,30.433,13.741,819.574,59.058,59.997,0.809,0.709,NONE,0.048
8.200,CC_CHARGING,399.911,353.825,120.043,42.474,42.672,28.645,30.219,13.647,818.171,59.120,60.009,0.824,22.636,NONE,0.034
8.250,CC_CHARGING,399.909,353.382,121.497,42.935,42.676,28.859,30.313,12.937,819.258,59.405,59.983,0.854,29.073,NONE,0.044
8.300,CC_CHARGING,399.708,353.631,119.546,42.275,42.681,28.643,30.228,12.995,816.296,59.298,59.986,0.782,-39.027,NONE,0.046
8.350,CC_CHARGING,399.748,353.836,121.637,43.040,42.685,28.856,30.479,12.897,816.090,59.016,59.986,0.849,41.835,NONE,0.035
8.400,CC_CHARGING,399.894,354.072,120.793,42.770,42.689,28.773,30.393,13.763,816.886,59.325,60.021,0.860,-16.883,NONE,0.055
8.450,CC_CHARGING,399.461,353.995,118.950,42.108,42.693,28.863,30.418,13.220,817.271,59.319,59.977,0.860,-36.870,NONE,0.053
8.500,CC_CHARGING,400.131,353.303,121.231,42.831,42.697,28.759,30.357,13.181,816.961,59.284,59.991,0.872,45.637,NONE,0.055
8.550,CC_CHARGING,399.827,353.765,120.391,42.590,42.701,28.714,30.243,13.331,817.118,58.987,59.991,0.855,-16.800,NONE,0.034
8.600,CC_CHARGING,400.337,353.899,118.836,42.056,42.705,28.790,30.418,12.994,819.684,59.359,59.988,0.849,-31.118,NONE,0.039
8.650,CC_CHARGING,400.138,353.935,121.701,43.074,42.709,28.660,30.453,13.359,816.482,59.147,59.990,0.879,57.313,NONE,0.041
8.700,CC_CHARGING,400.023,353.243,119.197,42.106,42.713,28.817,30.300,13.813,818.883,59.194,59.992,0.788,-50.080,NONE,0.048
8.750,CC_CHARGING,399.724,353.972,119.454,42.283,42.718,28.784,30.383,13.164,819.405,59.390,59.997,0.841,5.134,NONE,0.031
8.800,CC_CHARGING,399.432,353.278,119.633,42.264,42.722,28.686,30.339,13.077,817.769,59.382,60.005,0.835,3.581,NONE,0.036
8.850,CC_CHARGING,400.475,353.483,118.913,42.034,42.726,28.770,30.442,14.051,816.844,59.033,60.010,0.792,-14.394,NONE,0.060
8.900,CC_CHARGING,400.044,354.087,120.724,42.747,42.730,28.868,30.372,13.744,818.829,59.355,59.972,0.816,36.220,NONE,0.057
8.950,CC_CHARGING,400.099,353.196,121.982,43.084,42.734,28.855,30.283,13.144,817.665,59.274,60.020,0.850,25.154,NONE,0.040
9.000,CC_CHARGING,400.013,354.196,122.096,43.246,42.738,28.734,30.417,13.997,818.243,59.259,60.019,0.810,2.281,NONE,0.051
9.050,CC_CHARGING,399.657,353.401,119.476,42.223,42.742,28.768,30.380,13.237,816.846,59.028,59.999,0.789,-52.400,NONE,0.032
9.100,CC_CHARGING,400.124,353.620,121.343,42.909,42.746,28.781,30.346,13.121,816.690,59.048,60.001,0.806,37.349,NONE,0.034
9.150,CC_CHARGING,399.141,353.453,120.072,42.440,42.750,28.708,30.372,13.710,817.695,59.094,59.977,0.831,-25.432,NONE,0.059
9.200,CC_CHARGING,399.229,353.662,118.983,42.080,42.754,28.707,30.329,13.568,817.058,59.188,60.010,0.877,-21.782,NONE,0.031
9.250,CC_CHARGING,400.459,354.156,121.283,42.953,42.758,28.849,30.308,13.238,817.854,59.284,60.029,0.817,46.013,NONE,0.039
